+10269753, Angelical, 23/06/2017, 2:28:43
+10269753, Angelical, 23/06/2017, 2:31:56
+10269753, Angelical, 23/06/2017, 2:33:19
+10269753, Angelical, 23/06/2017, 2:36:00
+10269753, Angelical, 23/06/2017, 2:37:17
+10269753, Angelical, 23/06/2017, 2:37:35
+10269753, Angelical, 23/06/2017, 2:39:43
+10269731, Angelical, 24/06/2017, 0:59:42
+10291341, Angelical, 24/06/2017, 1:07:50
+59796, Angelical, 24/06/2017, 1:17:50
+10351094, Angelical, 24/06/2017, 1:24:24
+12286, Angelical, 24/06/2017, 3:29:24
+51074, Angelical, 24/06/2017, 3:34:24
+33619, Angelical, 24/06/2017, 3:39:24
+12359, Angelical, 24/06/2017, 3:44:24
+29124, Angelical, 24/06/2017, 3:49:24
+13769, Angelical, 24/06/2017, 3:54:24
+18659, Angelical, 24/06/2017, 3:59:24
+11301456, Angelical, 24/06/2017, 11:51:53
+165862, Angelical, 24/06/2017, 11:56:53
+89175, Angelical, 24/06/2017, 12:01:53
+58084, Angelical, 24/06/2017, 12:16:53
+237902, Angelical, 24/06/2017, 12:21:53
+227198, Angelical, 24/06/2017, 12:26:53
+244572, Angelical, 24/06/2017, 12:31:53
+270033, Angelical, 24/06/2017, 12:36:53
+224402, Angelical, 24/06/2017, 12:41:53
+655710, Angelical, 24/06/2017, 12:46:53
+1074576, Angelical, 24/06/2017, 12:51:53
+246001, Angelical, 24/06/2017, 12:56:53
+696009, Angelical, 24/06/2017, 13:01:53
+456519, Angelical, 24/06/2017, 13:06:53
+664806, Angelical, 24/06/2017, 13:11:53
+723905, Angelical, 24/06/2017, 13:16:53
+60510, Angelical, 24/06/2017, 13:21:53
+17603280, Brulim, 24/06/2017, 13:36:53
+250000000, Brulim, 24/06/2017, 13:41:53
+10000000, Brulim, 24/06/2017, 13:46:53
+100000000, Brulim, 24/06/2017, 13:56:53
